cond,stage,estimator,n,coverage_pct,under_p95_ms,over_median_ms
12MP,Bokeh,current: U (upper),2247,84.60169114374722,73.81958411239223,83.91239107460558
12MP,Bokeh,current: P-hat (point),2247,40.6764574988874,171.09960935655118,-14.021111414905477
12MP,Bokeh,naive mean3,2247,55.22919448153093,155.13333333333318,5.0
12MP,Bokeh,naive mean10,2247,57.765910102358696,230.90999999999912,9.5
12MP,Bokeh,naive max5,2247,82.02047174009792,73.69999999999982,47.0
12MP,Filter,current: U (upper),3016,84.88063660477454,48.75103376181835,65.18730417410723
12MP,Filter,current: P-hat (point),3016,36.5053050397878,131.0185265651058,-14.808162376874321
12MP,Filter,naive mean3,3016,56.66445623342176,130.08333333333331,6.666666666666629
12MP,Filter,naive mean10,3016,65.51724137931035,196.82499999999996,21.48333333333329
12MP,Filter,naive max5,3016,84.25066312997347,55.0,56.0
24MP,Bokeh,current: U (upper),1579,82.01393286890438,160.36998712214728,146.4892629192168
24MP,Bokeh,current: P-hat (point),1579,42.1785940468651,293.7325221504942,-22.772797495549867
24MP,Bokeh,naive mean3,1579,58.834705509816345,230.33333333333303,19.33333333333337
24MP,Bokeh,naive mean10,1579,67.63774540848638,242.91333333333318,54.89999999999998
24MP,Bokeh,naive max5,1579,83.85053831538949,123.0,126.0
24MP,Filter,current: U (upper),2250,83.37777777777777,102.44309472908145,119.58418102433328
24MP,Filter,current: P-hat (point),2250,43.46666666666666,213.83394187716766,-13.762826516201983
24MP,Filter,naive mean3,2250,60.88888888888889,215.18333333333325,24.66666666666663
24MP,Filter,naive mean10,2250,72.84444444444445,209.36349206349186,78.0
24MP,Filter,naive max5,2250,85.46666666666667,103.0,153.0
