cond,estimator,n,coverage_pct,under_p95_ms,mae_ms
12MP,current: backlog clock,3040,37.13815789473684,755.2499999999986,348.4121710526316
12MP,naive: count x mean3,3040,47.96052631578947,531.8499999999991,257.68410087719303
12MP,naive: count x max5,3040,80.06578947368422,253.09999999999945,439.75427631578947
24MP,current: backlog clock,3076,42.977893368010406,1115.25,509.6287386215865
24MP,naive: count x mean3,3071,55.65669700910273,716.0,438.86860957342884
24MP,naive: count x max5,3067,84.75292587776333,302.39999999999964,908.2592109553309
