pop,arm,knob,value,FA,FS,UA,US
RQ3 pool,P-hat only,margin,0.0,3565,3,47,131
RQ3 pool,P-hat only,margin,10.0,3564,4,44,134
RQ3 pool,P-hat only,margin,20.0,3560,8,39,139
RQ3 pool,P-hat only,margin,30.0,3560,8,35,143
RQ3 pool,P-hat only,margin,40.0,3556,12,28,150
RQ3 pool,P-hat only,margin,50.0,3551,17,26,152
RQ3 pool,P-hat only,margin,60.0,3545,23,24,154
RQ3 pool,P-hat only,margin,70.0,3539,29,19,159
RQ3 pool,P-hat only,margin,80.0,3534,34,18,160
RQ3 pool,P-hat only,margin,90.0,3530,38,17,161
RQ3 pool,P-hat only,margin,100.0,3516,52,14,164
RQ3 pool,P-hat only,margin,110.0,3512,56,14,164
RQ3 pool,P-hat only,margin,120.0,3508,60,13,165
RQ3 pool,P-hat only,margin,130.0,3503,65,12,166
RQ3 pool,P-hat only,margin,140.0,3495,73,11,167
RQ3 pool,P-hat only,margin,150.0,3492,76,10,168
RQ3 pool,P-hat only,margin,160.0,3485,83,9,169
RQ3 pool,P-hat only,margin,170.0,3480,88,8,170
RQ3 pool,P-hat only,margin,180.0,3473,95,7,171
RQ3 pool,P-hat only,margin,190.0,3465,103,7,171
RQ3 pool,P-hat only,margin,200.0,3462,106,5,173
RQ3 pool,P-hat only,margin,210.0,3456,112,5,173
RQ3 pool,P-hat only,margin,220.0,3454,114,5,173
RQ3 pool,P-hat only,margin,230.0,3448,120,5,173
RQ3 pool,P-hat only,margin,240.0,3441,127,5,173
RQ3 pool,P-hat only,margin,250.0,3432,136,5,173
RQ3 pool,P-hat only,margin,260.0,3426,142,5,173
RQ3 pool,P-hat only,margin,270.0,3418,150,5,173
RQ3 pool,P-hat only,margin,280.0,3411,157,5,173
RQ3 pool,P-hat only,margin,290.0,3407,161,5,173
RQ3 pool,P-hat only,margin,300.0,3403,165,5,173
RQ3 pool,P-hat only,margin,310.0,3394,174,5,173
RQ3 pool,P-hat only,margin,320.0,3386,182,5,173
RQ3 pool,P-hat only,margin,330.0,3377,191,5,173
RQ3 pool,P-hat only,margin,340.0,3374,194,5,173
RQ3 pool,P-hat only,margin,350.0,3365,203,5,173
RQ3 pool,P-hat only,margin,360.0,3359,209,5,173
RQ3 pool,P-hat only,margin,370.0,3351,217,5,173
RQ3 pool,P-hat only,margin,380.0,3339,229,5,173
RQ3 pool,P-hat only,margin,390.0,3333,235,4,174
RQ3 pool,P-hat only,margin,400.0,3319,249,4,174
RQ3 pool,P-hat only,margin,410.0,3308,260,4,174
RQ3 pool,P-hat only,margin,420.0,3296,272,3,175
RQ3 pool,P-hat only,margin,430.0,3287,281,3,175
RQ3 pool,P-hat only,margin,440.0,3274,294,3,175
RQ3 pool,P-hat only,margin,450.0,3265,303,3,175
RQ3 pool,P-hat only,margin,460.0,3259,309,3,175
RQ3 pool,P-hat only,margin,470.0,3253,315,3,175
RQ3 pool,P-hat only,margin,480.0,3242,326,3,175
RQ3 pool,P-hat only,margin,490.0,3234,334,3,175
RQ3 pool,P-hat only,margin,500.0,3223,345,3,175
RQ3 pool,P-hat only,margin,510.0,3215,353,2,176
RQ3 pool,P-hat only,margin,520.0,3209,359,2,176
RQ3 pool,P-hat only,margin,530.0,3198,370,2,176
RQ3 pool,P-hat only,margin,540.0,3187,381,2,176
RQ3 pool,P-hat only,margin,550.0,3178,390,2,176
RQ3 pool,P-hat only,margin,560.0,3170,398,2,176
RQ3 pool,P-hat only,margin,570.0,3158,410,2,176
RQ3 pool,P-hat only,margin,580.0,3149,419,2,176
RQ3 pool,P-hat only,margin,590.0,3139,429,2,176
RQ3 pool,P-hat only,margin,600.0,3125,443,2,176
RQ3 pool,P-hat only,margin,610.0,3113,455,2,176
RQ3 pool,P-hat only,margin,620.0,3106,462,2,176
RQ3 pool,P-hat only,margin,630.0,3090,478,2,176
RQ3 pool,P-hat only,margin,640.0,3081,487,1,177
RQ3 pool,P-hat only,margin,650.0,3072,496,1,177
RQ3 pool,P-hat only,margin,660.0,3062,506,1,177
RQ3 pool,P-hat only,margin,670.0,3054,514,1,177
RQ3 pool,P-hat only,margin,680.0,3042,526,0,178
RQ3 pool,P-hat only,margin,690.0,3036,532,0,178
RQ3 pool,P-hat only,margin,700.0,3019,549,0,178
RQ3 pool,P-hat only,margin,710.0,3009,559,0,178
RQ3 pool,P-hat only,margin,720.0,3004,564,0,178
RQ3 pool,P-hat only,margin,730.0,2993,575,0,178
RQ3 pool,P-hat only,margin,740.0,2978,590,0,178
RQ3 pool,P-hat only,margin,750.0,2965,603,0,178
RQ3 pool,P-hat only,margin,760.0,2958,610,0,178
RQ3 pool,P-hat only,margin,770.0,2948,620,0,178
RQ3 pool,P-hat only,margin,780.0,2940,628,0,178
RQ3 pool,P-hat only,margin,790.0,2931,637,0,178
RQ3 pool,P-hat only,margin,800.0,2923,645,0,178
RQ3 pool,P-hat only,margin,810.0,2912,656,0,178
RQ3 pool,P-hat only,margin,820.0,2901,667,0,178
RQ3 pool,P-hat only,margin,830.0,2892,676,0,178
RQ3 pool,P-hat only,margin,840.0,2882,686,0,178
RQ3 pool,P-hat only,margin,850.0,2870,698,0,178
RQ3 pool,P-hat only,margin,860.0,2860,708,0,178
RQ3 pool,P-hat only,margin,870.0,2852,716,0,178
RQ3 pool,P-hat only,margin,880.0,2841,727,0,178
RQ3 pool,P-hat only,margin,890.0,2825,743,0,178
RQ3 pool,P-hat only,margin,900.0,2810,758,0,178
RQ3 pool,P-hat only,margin,910.0,2802,766,0,178
RQ3 pool,P-hat only,margin,920.0,2795,773,0,178
RQ3 pool,P-hat only,margin,930.0,2783,785,0,178
RQ3 pool,P-hat only,margin,940.0,2777,791,0,178
RQ3 pool,P-hat only,margin,950.0,2770,798,0,178
RQ3 pool,P-hat only,margin,960.0,2760,808,0,178
RQ3 pool,P-hat only,margin,970.0,2747,821,0,178
RQ3 pool,P-hat only,margin,980.0,2738,830,0,178
RQ3 pool,P-hat only,margin,990.0,2728,840,0,178
RQ3 pool,P-hat only,margin,1000.0,2717,851,0,178
RQ3 pool,P-hat only,margin,1010.0,2706,862,0,178
RQ3 pool,P-hat only,margin,1020.0,2696,872,0,178
RQ3 pool,P-hat only,margin,1030.0,2681,887,0,178
RQ3 pool,P-hat only,margin,1040.0,2671,897,0,178
RQ3 pool,P-hat only,margin,1050.0,2662,906,0,178
RQ3 pool,P-hat only,margin,1060.0,2651,917,0,178
RQ3 pool,P-hat only,margin,1070.0,2647,921,0,178
RQ3 pool,P-hat only,margin,1080.0,2638,930,0,178
RQ3 pool,P-hat only,margin,1090.0,2628,940,0,178
RQ3 pool,P-hat only,margin,1100.0,2619,949,0,178
RQ3 pool,P-hat only,margin,1110.0,2614,954,0,178
RQ3 pool,P-hat only,margin,1120.0,2608,960,0,178
RQ3 pool,P-hat only,margin,1130.0,2594,974,0,178
RQ3 pool,P-hat only,margin,1140.0,2589,979,0,178
RQ3 pool,P-hat only,margin,1150.0,2582,986,0,178
RQ3 pool,P-hat only,margin,1160.0,2572,996,0,178
RQ3 pool,P-hat only,margin,1170.0,2563,1005,0,178
RQ3 pool,P-hat only,margin,1180.0,2553,1015,0,178
RQ3 pool,P-hat only,margin,1190.0,2545,1023,0,178
RQ3 pool,P-hat only,margin,1200.0,2536,1032,0,178
RQ3 pool,P-hat only,margin,1210.0,2524,1044,0,178
RQ3 pool,P-hat only,margin,1220.0,2510,1058,0,178
RQ3 pool,P-hat only,margin,1230.0,2502,1066,0,178
RQ3 pool,P-hat only,margin,1240.0,2496,1072,0,178
RQ3 pool,P-hat only,margin,1250.0,2489,1079,0,178
RQ3 pool,P-hat only,margin,1260.0,2485,1083,0,178
RQ3 pool,P-hat only,margin,1270.0,2476,1092,0,178
RQ3 pool,P-hat only,margin,1280.0,2468,1100,0,178
RQ3 pool,P-hat only,margin,1290.0,2459,1109,0,178
RQ3 pool,P-hat only,margin,1300.0,2454,1114,0,178
RQ3 pool,P-hat only,margin,1310.0,2443,1125,0,178
RQ3 pool,P-hat only,margin,1320.0,2432,1136,0,178
RQ3 pool,P-hat only,margin,1330.0,2427,1141,0,178
RQ3 pool,P-hat only,margin,1340.0,2414,1154,0,178
RQ3 pool,P-hat only,margin,1350.0,2408,1160,0,178
RQ3 pool,P-hat only,margin,1360.0,2401,1167,0,178
RQ3 pool,P-hat only,margin,1370.0,2390,1178,0,178
RQ3 pool,P-hat only,margin,1380.0,2385,1183,0,178
RQ3 pool,P-hat only,margin,1390.0,2383,1185,0,178
RQ3 pool,P-hat only,margin,1400.0,2375,1193,0,178
RQ3 pool,P-hat only,margin,1410.0,2368,1200,0,178
RQ3 pool,P-hat only,margin,1420.0,2365,1203,0,178
RQ3 pool,P-hat only,margin,1430.0,2357,1211,0,178
RQ3 pool,P-hat only,margin,1440.0,2347,1221,0,178
RQ3 pool,P-hat only,margin,1450.0,2335,1233,0,178
RQ3 pool,P-hat only,margin,1460.0,2326,1242,0,178
RQ3 pool,P-hat only,margin,1470.0,2319,1249,0,178
RQ3 pool,P-hat only,margin,1480.0,2316,1252,0,178
RQ3 pool,P-hat only,margin,1490.0,2310,1258,0,178
RQ3 pool,P-hat only,margin,1500.0,2304,1264,0,178
RQ3 pool,P-hat only,scale,1.0,3565,3,47,131
RQ3 pool,P-hat only,scale,1.01,3563,5,46,132
RQ3 pool,P-hat only,scale,1.02,3563,5,43,135
RQ3 pool,P-hat only,scale,1.03,3559,9,38,140
RQ3 pool,P-hat only,scale,1.04,3555,13,38,140
RQ3 pool,P-hat only,scale,1.05,3553,15,32,146
RQ3 pool,P-hat only,scale,1.06,3551,17,25,153
RQ3 pool,P-hat only,scale,1.07,3549,19,22,156
RQ3 pool,P-hat only,scale,1.08,3545,23,20,158
RQ3 pool,P-hat only,scale,1.09,3538,30,17,161
RQ3 pool,P-hat only,scale,1.1,3535,33,16,162
RQ3 pool,P-hat only,scale,1.11,3531,37,14,164
RQ3 pool,P-hat only,scale,1.12,3530,38,13,165
RQ3 pool,P-hat only,scale,1.13,3525,43,12,166
RQ3 pool,P-hat only,scale,1.14,3521,47,12,166
RQ3 pool,P-hat only,scale,1.15,3519,49,12,166
RQ3 pool,P-hat only,scale,1.16,3516,52,12,166
RQ3 pool,P-hat only,scale,1.17,3511,57,12,166
RQ3 pool,P-hat only,scale,1.18,3510,58,12,166
RQ3 pool,P-hat only,scale,1.19,3507,61,10,168
RQ3 pool,P-hat only,scale,1.2,3503,65,9,169
RQ3 pool,P-hat only,scale,1.21,3498,70,9,169
RQ3 pool,P-hat only,scale,1.22,3493,75,9,169
RQ3 pool,P-hat only,scale,1.23,3487,81,9,169
RQ3 pool,P-hat only,scale,1.24,3481,87,9,169
RQ3 pool,P-hat only,scale,1.25,3474,94,9,169
RQ3 pool,P-hat only,scale,1.26,3470,98,8,170
RQ3 pool,P-hat only,scale,1.27,3468,100,8,170
RQ3 pool,P-hat only,scale,1.28,3462,106,7,171
RQ3 pool,P-hat only,scale,1.29,3459,109,7,171
RQ3 pool,P-hat only,scale,1.3,3455,113,6,172
RQ3 pool,P-hat only,scale,1.31,3448,120,5,173
RQ3 pool,P-hat only,scale,1.32,3443,125,5,173
RQ3 pool,P-hat only,scale,1.33,3437,131,5,173
RQ3 pool,P-hat only,scale,1.34,3430,138,4,174
RQ3 pool,P-hat only,scale,1.35,3427,141,4,174
RQ3 pool,P-hat only,scale,1.36,3423,145,4,174
RQ3 pool,P-hat only,scale,1.37,3418,150,4,174
RQ3 pool,P-hat only,scale,1.38,3412,156,4,174
RQ3 pool,P-hat only,scale,1.39,3402,166,4,174
RQ3 pool,P-hat only,scale,1.4,3397,171,4,174
RQ3 pool,P-hat only,scale,1.41,3394,174,4,174
RQ3 pool,P-hat only,scale,1.42,3388,180,4,174
RQ3 pool,P-hat only,scale,1.43,3382,186,4,174
RQ3 pool,P-hat only,scale,1.44,3372,196,4,174
RQ3 pool,P-hat only,scale,1.45,3367,201,4,174
RQ3 pool,P-hat only,scale,1.46,3361,207,4,174
RQ3 pool,P-hat only,scale,1.47,3358,210,4,174
RQ3 pool,P-hat only,scale,1.48,3354,214,4,174
RQ3 pool,P-hat only,scale,1.49,3341,227,4,174
RQ3 pool,P-hat only,scale,1.5,3336,232,4,174
RQ3 pool,P-hat only,scale,1.51,3333,235,4,174
RQ3 pool,P-hat only,scale,1.52,3326,242,4,174
RQ3 pool,P-hat only,scale,1.53,3317,251,3,175
RQ3 pool,P-hat only,scale,1.54,3312,256,3,175
RQ3 pool,P-hat only,scale,1.55,3304,264,3,175
RQ3 pool,P-hat only,scale,1.56,3300,268,3,175
RQ3 pool,P-hat only,scale,1.57,3292,276,2,176
RQ3 pool,P-hat only,scale,1.58,3290,278,2,176
RQ3 pool,P-hat only,scale,1.59,3283,285,2,176
RQ3 pool,P-hat only,scale,1.6,3280,288,2,176
RQ3 pool,P-hat only,scale,1.61,3271,297,2,176
RQ3 pool,P-hat only,scale,1.62,3261,307,2,176
RQ3 pool,P-hat only,scale,1.63,3259,309,2,176
RQ3 pool,P-hat only,scale,1.64,3248,320,2,176
RQ3 pool,P-hat only,scale,1.65,3241,327,2,176
RQ3 pool,P-hat only,scale,1.66,3237,331,2,176
RQ3 pool,P-hat only,scale,1.67,3233,335,2,176
RQ3 pool,P-hat only,scale,1.68,3225,343,2,176
RQ3 pool,P-hat only,scale,1.69,3222,346,2,176
RQ3 pool,P-hat only,scale,1.7,3218,350,2,176
RQ3 pool,P-hat only,scale,1.71,3213,355,2,176
RQ3 pool,P-hat only,scale,1.72,3207,361,2,176
RQ3 pool,P-hat only,scale,1.73,3202,366,2,176
RQ3 pool,P-hat only,scale,1.74,3194,374,1,177
RQ3 pool,P-hat only,scale,1.75,3187,381,1,177
RQ3 pool,P-hat only,scale,1.76,3179,389,1,177
RQ3 pool,P-hat only,scale,1.77,3172,396,1,177
RQ3 pool,P-hat only,scale,1.78,3164,404,1,177
RQ3 pool,P-hat only,scale,1.79,3156,412,1,177
RQ3 pool,P-hat only,scale,1.8,3146,422,1,177
RQ3 pool,P-hat only,scale,1.81,3141,427,0,178
RQ3 pool,P-hat only,scale,1.82,3136,432,0,178
RQ3 pool,P-hat only,scale,1.83,3130,438,0,178
RQ3 pool,P-hat only,scale,1.84,3118,450,0,178
RQ3 pool,P-hat only,scale,1.85,3107,461,0,178
RQ3 pool,P-hat only,scale,1.86,3105,463,0,178
RQ3 pool,P-hat only,scale,1.87,3100,468,0,178
RQ3 pool,P-hat only,scale,1.88,3092,476,0,178
RQ3 pool,P-hat only,scale,1.89,3084,484,0,178
RQ3 pool,P-hat only,scale,1.9,3076,492,0,178
RQ3 pool,P-hat only,scale,1.91,3072,496,0,178
RQ3 pool,P-hat only,scale,1.92,3064,504,0,178
RQ3 pool,P-hat only,scale,1.93,3054,514,0,178
RQ3 pool,P-hat only,scale,1.94,3043,525,0,178
RQ3 pool,P-hat only,scale,1.95,3037,531,0,178
RQ3 pool,P-hat only,scale,1.96,3029,539,0,178
RQ3 pool,P-hat only,scale,1.97,3026,542,0,178
RQ3 pool,P-hat only,scale,1.98,3020,548,0,178
RQ3 pool,P-hat only,scale,1.99,3013,555,0,178
RQ3 pool,P-hat only,scale,2.0,3008,560,0,178
RQ3 pool,P-hat only,scale,2.01,3003,565,0,178
RQ3 pool,P-hat only,scale,2.02,2996,572,0,178
RQ3 pool,P-hat only,scale,2.03,2987,581,0,178
RQ3 pool,P-hat only,scale,2.04,2978,590,0,178
RQ3 pool,P-hat only,scale,2.05,2973,595,0,178
RQ3 pool,P-hat only,scale,2.06,2969,599,0,178
RQ3 pool,P-hat only,scale,2.07,2959,609,0,178
RQ3 pool,P-hat only,scale,2.08,2954,614,0,178
RQ3 pool,P-hat only,scale,2.09,2943,625,0,178
RQ3 pool,P-hat only,scale,2.1,2936,632,0,178
RQ3 pool,P-hat only,scale,2.11,2928,640,0,178
RQ3 pool,P-hat only,scale,2.12,2924,644,0,178
RQ3 pool,P-hat only,scale,2.13,2918,650,0,178
RQ3 pool,P-hat only,scale,2.14,2910,658,0,178
RQ3 pool,P-hat only,scale,2.15,2899,669,0,178
RQ3 pool,P-hat only,scale,2.16,2892,676,0,178
RQ3 pool,P-hat only,scale,2.17,2881,687,0,178
RQ3 pool,P-hat only,scale,2.18,2877,691,0,178
RQ3 pool,P-hat only,scale,2.19,2871,697,0,178
RQ3 pool,P-hat only,scale,2.2,2865,703,0,178
RQ3 pool,P-hat only,scale,2.21,2860,708,0,178
RQ3 pool,P-hat only,scale,2.22,2852,716,0,178
RQ3 pool,P-hat only,scale,2.23,2847,721,0,178
RQ3 pool,P-hat only,scale,2.24,2841,727,0,178
RQ3 pool,P-hat only,scale,2.25,2831,737,0,178
RQ3 pool,P-hat only,scale,2.26,2821,747,0,178
RQ3 pool,P-hat only,scale,2.27,2814,754,0,178
RQ3 pool,P-hat only,scale,2.28,2811,757,0,178
RQ3 pool,P-hat only,scale,2.29,2807,761,0,178
RQ3 pool,P-hat only,scale,2.3,2803,765,0,178
RQ3 pool,P-hat only,scale,2.31,2801,767,0,178
RQ3 pool,P-hat only,scale,2.32,2793,775,0,178
RQ3 pool,P-hat only,scale,2.33,2783,785,0,178
RQ3 pool,P-hat only,scale,2.34,2775,793,0,178
RQ3 pool,P-hat only,scale,2.35,2766,802,0,178
RQ3 pool,P-hat only,scale,2.36,2757,811,0,178
RQ3 pool,P-hat only,scale,2.37,2753,815,0,178
RQ3 pool,P-hat only,scale,2.38,2746,822,0,178
RQ3 pool,P-hat only,scale,2.39,2740,828,0,178
RQ3 pool,P-hat only,scale,2.4,2730,838,0,178
RQ3 pool,P-hat only,scale,2.41,2720,848,0,178
RQ3 pool,P-hat only,scale,2.42,2713,855,0,178
RQ3 pool,P-hat only,scale,2.43,2708,860,0,178
RQ3 pool,P-hat only,scale,2.44,2704,864,0,178
RQ3 pool,P-hat only,scale,2.45,2700,868,0,178
RQ3 pool,P-hat only,scale,2.46,2694,874,0,178
RQ3 pool,P-hat only,scale,2.47,2689,879,0,178
RQ3 pool,P-hat only,scale,2.48,2687,881,0,178
RQ3 pool,P-hat only,scale,2.49,2683,885,0,178
RQ3 pool,P-hat only,scale,2.5,2677,891,0,178
RQ3 pool,P-hat only,scale,2.51,2672,896,0,178
RQ3 pool,P-hat only,scale,2.52,2668,900,0,178
RQ3 pool,P-hat only,scale,2.53,2658,910,0,178
RQ3 pool,P-hat only,scale,2.54,2651,917,0,178
RQ3 pool,P-hat only,scale,2.55,2645,923,0,178
RQ3 pool,P-hat only,scale,2.56,2637,931,0,178
RQ3 pool,P-hat only,scale,2.57,2630,938,0,178
RQ3 pool,P-hat only,scale,2.58,2616,952,0,178
RQ3 pool,P-hat only,scale,2.59,2610,958,0,178
RQ3 pool,P-hat only,scale,2.6,2605,963,0,178
RQ3 pool,P-hat only,scale,2.61,2596,972,0,178
RQ3 pool,P-hat only,scale,2.62,2588,980,0,178
RQ3 pool,P-hat only,scale,2.63,2581,987,0,178
RQ3 pool,P-hat only,scale,2.64,2575,993,0,178
RQ3 pool,P-hat only,scale,2.65,2571,997,0,178
RQ3 pool,P-hat only,scale,2.66,2566,1002,0,178
RQ3 pool,P-hat only,scale,2.67,2561,1007,0,178
RQ3 pool,P-hat only,scale,2.68,2553,1015,0,178
RQ3 pool,P-hat only,scale,2.69,2547,1021,0,178
RQ3 pool,P-hat only,scale,2.7,2537,1031,0,178
RQ3 pool,P-hat only,scale,2.71,2530,1038,0,178
RQ3 pool,P-hat only,scale,2.72,2528,1040,0,178
RQ3 pool,P-hat only,scale,2.73,2524,1044,0,178
RQ3 pool,P-hat only,scale,2.74,2520,1048,0,178
RQ3 pool,P-hat only,scale,2.75,2514,1054,0,178
RQ3 pool,P-hat only,scale,2.76,2505,1063,0,178
RQ3 pool,P-hat only,scale,2.77,2501,1067,0,178
RQ3 pool,P-hat only,scale,2.78,2494,1074,0,178
RQ3 pool,P-hat only,scale,2.79,2482,1086,0,178
RQ3 pool,P-hat only,scale,2.8,2478,1090,0,178
RQ3 pool,P-hat only,scale,2.81,2472,1096,0,178
RQ3 pool,P-hat only,scale,2.82,2470,1098,0,178
RQ3 pool,P-hat only,scale,2.83,2461,1107,0,178
RQ3 pool,P-hat only,scale,2.84,2458,1110,0,178
RQ3 pool,P-hat only,scale,2.85,2453,1115,0,178
RQ3 pool,P-hat only,scale,2.86,2451,1117,0,178
RQ3 pool,P-hat only,scale,2.87,2447,1121,0,178
RQ3 pool,P-hat only,scale,2.88,2442,1126,0,178
RQ3 pool,P-hat only,scale,2.89,2437,1131,0,178
RQ3 pool,P-hat only,scale,2.9,2431,1137,0,178
RQ3 pool,P-hat only,scale,2.91,2428,1140,0,178
RQ3 pool,P-hat only,scale,2.92,2420,1148,0,178
RQ3 pool,P-hat only,scale,2.93,2414,1154,0,178
RQ3 pool,P-hat only,scale,2.94,2409,1159,0,178
RQ3 pool,P-hat only,scale,2.95,2404,1164,0,178
RQ3 pool,P-hat only,scale,2.96,2402,1166,0,178
RQ3 pool,P-hat only,scale,2.97,2397,1171,0,178
RQ3 pool,P-hat only,scale,2.98,2395,1173,0,178
RQ3 pool,P-hat only,scale,2.99,2389,1179,0,178
RQ3 pool,P-hat only,scale,3.0,2383,1185,0,178
RQ3 pool,draft mean-3,margin,0.0,3544,24,50,128
RQ3 pool,draft mean-3,margin,10.0,3538,30,48,130
RQ3 pool,draft mean-3,margin,20.0,3538,30,40,138
RQ3 pool,draft mean-3,margin,30.0,3537,31,40,138
RQ3 pool,draft mean-3,margin,40.0,3532,36,36,142
RQ3 pool,draft mean-3,margin,50.0,3522,46,34,144
RQ3 pool,draft mean-3,margin,60.0,3520,48,32,146
RQ3 pool,draft mean-3,margin,70.0,3512,56,30,148
RQ3 pool,draft mean-3,margin,80.0,3504,64,28,150
RQ3 pool,draft mean-3,margin,90.0,3492,76,26,152
RQ3 pool,draft mean-3,margin,100.0,3488,80,24,154
RQ3 pool,draft mean-3,margin,110.0,3480,88,24,154
RQ3 pool,draft mean-3,margin,120.0,3478,90,22,156
RQ3 pool,draft mean-3,margin,130.0,3476,92,16,162
RQ3 pool,draft mean-3,margin,140.0,3474,94,14,164
RQ3 pool,draft mean-3,margin,150.0,3464,104,14,164
RQ3 pool,draft mean-3,margin,160.0,3458,110,14,164
RQ3 pool,draft mean-3,margin,170.0,3456,112,10,168
RQ3 pool,draft mean-3,margin,180.0,3450,118,10,168
RQ3 pool,draft mean-3,margin,190.0,3446,122,10,168
RQ3 pool,draft mean-3,margin,200.0,3444,124,10,168
RQ3 pool,draft mean-3,margin,210.0,3436,132,8,170
RQ3 pool,draft mean-3,margin,220.0,3434,134,8,170
RQ3 pool,draft mean-3,margin,230.0,3426,142,8,170
RQ3 pool,draft mean-3,margin,240.0,3418,150,8,170
RQ3 pool,draft mean-3,margin,250.0,3416,152,8,170
RQ3 pool,draft mean-3,margin,260.0,3412,156,8,170
RQ3 pool,draft mean-3,margin,270.0,3402,166,8,170
RQ3 pool,draft mean-3,margin,280.0,3390,178,8,170
RQ3 pool,draft mean-3,margin,290.0,3386,182,8,170
RQ3 pool,draft mean-3,margin,300.0,3382,186,8,170
RQ3 pool,draft mean-3,margin,310.0,3372,196,8,170
RQ3 pool,draft mean-3,margin,320.0,3360,208,8,170
RQ3 pool,draft mean-3,margin,330.0,3358,210,8,170
RQ3 pool,draft mean-3,margin,340.0,3346,222,8,170
RQ3 pool,draft mean-3,margin,350.0,3336,232,6,172
RQ3 pool,draft mean-3,margin,360.0,3322,246,6,172
RQ3 pool,draft mean-3,margin,370.0,3318,250,6,172
RQ3 pool,draft mean-3,margin,380.0,3312,256,6,172
RQ3 pool,draft mean-3,margin,390.0,3298,270,6,172
RQ3 pool,draft mean-3,margin,400.0,3292,276,4,174
RQ3 pool,draft mean-3,margin,410.0,3280,288,4,174
RQ3 pool,draft mean-3,margin,420.0,3271,297,4,174
RQ3 pool,draft mean-3,margin,430.0,3256,312,4,174
RQ3 pool,draft mean-3,margin,440.0,3252,316,4,174
RQ3 pool,draft mean-3,margin,450.0,3238,330,4,174
RQ3 pool,draft mean-3,margin,460.0,3234,334,4,174
RQ3 pool,draft mean-3,margin,470.0,3226,342,4,174
RQ3 pool,draft mean-3,margin,480.0,3216,352,4,174
RQ3 pool,draft mean-3,margin,490.0,3210,358,4,174
RQ3 pool,draft mean-3,margin,500.0,3194,374,4,174
RQ3 pool,draft mean-3,margin,510.0,3184,384,4,174
RQ3 pool,draft mean-3,margin,520.0,3168,400,4,174
RQ3 pool,draft mean-3,margin,530.0,3156,412,4,174
RQ3 pool,draft mean-3,margin,540.0,3150,418,4,174
RQ3 pool,draft mean-3,margin,550.0,3146,422,4,174
RQ3 pool,draft mean-3,margin,560.0,3130,438,4,174
RQ3 pool,draft mean-3,margin,570.0,3120,448,2,176
RQ3 pool,draft mean-3,margin,580.0,3104,464,2,176
RQ3 pool,draft mean-3,margin,590.0,3094,474,2,176
RQ3 pool,draft mean-3,margin,600.0,3088,480,2,176
RQ3 pool,draft mean-3,margin,610.0,3078,490,2,176
RQ3 pool,draft mean-3,margin,620.0,3069,499,2,176
RQ3 pool,draft mean-3,margin,630.0,3054,514,2,176
RQ3 pool,draft mean-3,margin,640.0,3038,530,2,176
RQ3 pool,draft mean-3,margin,650.0,3020,548,2,176
RQ3 pool,draft mean-3,margin,660.0,3014,554,0,178
RQ3 pool,draft mean-3,margin,670.0,3008,560,0,178
RQ3 pool,draft mean-3,margin,680.0,2994,574,0,178
RQ3 pool,draft mean-3,margin,690.0,2990,578,0,178
RQ3 pool,draft mean-3,margin,700.0,2982,586,0,178
RQ3 pool,draft mean-3,margin,710.0,2974,594,0,178
RQ3 pool,draft mean-3,margin,720.0,2966,602,0,178
RQ3 pool,draft mean-3,margin,730.0,2954,614,0,178
RQ3 pool,draft mean-3,margin,740.0,2940,628,0,178
RQ3 pool,draft mean-3,margin,750.0,2932,636,0,178
RQ3 pool,draft mean-3,margin,760.0,2924,644,0,178
RQ3 pool,draft mean-3,margin,770.0,2920,648,0,178
RQ3 pool,draft mean-3,margin,780.0,2916,652,0,178
RQ3 pool,draft mean-3,margin,790.0,2908,660,0,178
RQ3 pool,draft mean-3,margin,800.0,2892,676,0,178
RQ3 pool,draft mean-3,margin,810.0,2880,688,0,178
RQ3 pool,draft mean-3,margin,820.0,2870,698,0,178
RQ3 pool,draft mean-3,margin,830.0,2860,708,0,178
RQ3 pool,draft mean-3,margin,840.0,2842,726,0,178
RQ3 pool,draft mean-3,margin,850.0,2834,734,0,178
RQ3 pool,draft mean-3,margin,860.0,2828,740,0,178
RQ3 pool,draft mean-3,margin,870.0,2814,754,0,178
RQ3 pool,draft mean-3,margin,880.0,2802,766,0,178
RQ3 pool,draft mean-3,margin,890.0,2790,778,0,178
RQ3 pool,draft mean-3,margin,900.0,2782,786,0,178
RQ3 pool,draft mean-3,margin,910.0,2770,798,0,178
RQ3 pool,draft mean-3,margin,920.0,2761,807,0,178
RQ3 pool,draft mean-3,margin,930.0,2750,818,0,178
RQ3 pool,draft mean-3,margin,940.0,2736,832,0,178
RQ3 pool,draft mean-3,margin,950.0,2728,840,0,178
RQ3 pool,draft mean-3,margin,960.0,2716,852,0,178
RQ3 pool,draft mean-3,margin,970.0,2708,860,0,178
RQ3 pool,draft mean-3,margin,980.0,2694,874,0,178
RQ3 pool,draft mean-3,margin,990.0,2682,886,0,178
RQ3 pool,draft mean-3,margin,1000.0,2674,894,0,178
RQ3 pool,draft mean-3,margin,1010.0,2670,898,0,178
RQ3 pool,draft mean-3,margin,1020.0,2661,907,0,178
RQ3 pool,draft mean-3,margin,1030.0,2656,912,0,178
RQ3 pool,draft mean-3,margin,1040.0,2640,928,0,178
RQ3 pool,draft mean-3,margin,1050.0,2634,934,0,178
