cond,arm,n,runs,engaged_pct,delay_s_per_run,ref_engaged,engage_agree_recorded_pct,recorded_delay_s_per_run,pos_median_ms,not_engaged_pct,engaged_when_ref_did_not,excess_s,shortfall_s,backlog_err_median_ms,backlog_cover_pct,reserve_median_ms,reserve_pctile_vs_realized,stages_without_history
12MP,current,2947,116,29.52154733627418,2.609939655172414,465,94.67254835425857,3.799241379310345,298.5,8.387096774193548,444,206.791,23.337,-56.0,36.98676620291822,879.0,85.78215134034612,
12MP,dr_mean1,2947,116,22.938581608415337,1.9258189655172415,465,87.27519511367493,3.799241379310345,271.5,16.774193548387096,289,132.899,28.803,-15.0,43.53579911774686,776.0,57.380386834068545,0.0
12MP,dr_mean3,2947,116,25.07634882931795,1.8128275862068965,465,88.93790295215473,3.799241379310345,255.0,11.182795698924732,326,117.799,26.81,-6.0,47.81133355955209,780.0,61.723786901934176,0.0
12MP,dr_mean5,2947,116,26.162198846284358,1.8406810344827587,465,89.68442483881914,3.799241379310345,249.0,15.268817204301076,377,123.881,29.661,7.0,52.39226331862912,787.0,65.49032914828639,0.0
12MP,dr_mean10,2947,116,27.723108245673565,2.042206896551724,465,88.32711231761114,3.799241379310345,257.0,22.580645161290324,457,157.717,40.12,35.80000000000018,59.75568374618256,817.8,68.34068544282322,0.0
12MP,dr_max3,2947,116,32.168306752629796,3.113284482758621,465,91.34713267729894,3.799241379310345,333.0,6.451612903225806,513,254.379,12.537,60.0,69.08720732948761,829.0,76.48456057007125,0.0
12MP,dr_max5,2947,116,37.902952154733626,4.259112068965518,465,91.51679674244994,3.799241379310345,386.0,4.516129032258065,673,383.913,9.155,142.0,79.94570749915168,860.0,83.27112317611129,0.0
12MP,dr_max10,2947,116,45.36817102137768,7.043293103448276,465,87.10553104852391,3.799241379310345,550.0,3.225806451612903,887,703.281,5.558,304.0,88.76823888700373,968.0,88.36104513064133,0.0
12MP,st_mean1,2947,116,27.180183237190363,3.171172413793103,465,75.16118086189346,3.799241379310345,294.0,31.182795698924732,481,300.042,51.485,-32.0,41.73736002714625,878.0,51.64574143196471,0.0
12MP,st_mean1+ovh,2947,116,34.84899898201561,4.356137931034483,465,79.09738717339667,3.799241379310345,345.0,15.698924731182796,635,413.757,27.744,24.0,58.12690872073295,918.0,67.4923651170682,0.0
12MP,st_mean1@exec,2947,116,16.118086189345096,1.2173534482758621,465,81.2012215812691,3.799241379310345,225.0,33.97849462365591,168,75.854,53.94,-116.0,21.44553783508653,730.0,35.22225992534781,0.0
12MP,st_mean1+ovh@exec,2947,116,23.00644723447574,1.9326637931034483,465,87.34306073973532,3.799241379310345,272.5,16.344086021505376,289,133.656,28.766,-15.0,43.53579911774686,777.0,57.21072276891754,0.0
12MP,st_mean3,2947,116,27.621309806582968,2.7375172413793107,465,76.55242619613166,3.799241379310345,239.0,28.387096774193548,481,252.073,53.82,-22.0,45.43603664743807,882.9999999999999,54.66576179165252,0.0
12MP,st_mean3+ovh,2947,116,36.240244316253815,3.9585689655172414,465,80.76009501187649,3.799241379310345,310.0,10.96774193548387,654,366.106,26.211,47.33333333333326,61.520190023752974,926.3333333333334,69.90159484221242,0.0
12MP,st_mean3@exec,2947,116,17.271801832371903,1.0250603448275861,465,82.0834747200543,3.799241379310345,194.0,31.182795698924732,189,56.036,56.428,-116.0,24.46555819477435,709.3333333333333,37.122497455039024,0.0
12MP,st_mean3+ovh@exec,2947,116,24.669155072955547,1.7924224137931033,465,88.66644044791313,3.799241379310345,258.0,11.182795698924732,314,115.477,26.855,-14.333333333333485,44.99491007804547,758.0000000000001,59.75568374618256,0.0
12MP,st_mean5,2947,116,28.16423481506617,2.684448275862069,465,77.23108245673566,3.799241379310345,236.0,27.956989247311828,495,247.774,55.677,-12.599999999999966,47.40413980318968,879.8000000000001,56.12487275195114,0.0
12MP,st_mean5+ovh,2947,116,36.40990838140482,3.9125689655172415,465,81.2012215812691,3.799241379310345,313.0,14.623655913978494,676,363.568,29.009,58.400000000000546,63.081099423142184,921.5999999999999,71.39463861554123,0.0
