shot,delay_ms
1,0
2,0
3,0
4,434
5,375
6,0
7,0
8,0
9,719
10,1313
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,423
19,406
20,0
21,261
22,6
23,451
24,0
25,0
26,0
27,0
28,0
29,0
30,0
