shot,margin_ms
1,4311
2,2917
3,2225
4,1786
5,1167
6,857
7,1138
8,1057
9,844
10,557
11,245
12,529
13,1238
14,1024
15,726
16,475
17,351
18,283
19,326
20,390
21,781
22,1073
23,1022
24,1396
25,1579
26,1992
27,2050
28,2186
29,2454
30,2705
