shot,backlog_ms,queue_depth
1,0,0
3,1113,0
4,1785,1
5,2405,2
6,2777,2
7,2842,2
8,3033,2
9,3356,2
10,3104,2
11,2883,3
12,2581,3
13,2287,2
14,2625,3
15,2941,3
16,3299,4
17,3590,4
18,3803,4
19,3808,4
20,3885,5
21,4157,5
22,4411,5
23,4469,5
24,4157,5
25,3739,5
26,3157,5
27,2635,4
28,2329,5
29,2228,5
30,1934,5
