shot,backlog_ms,queue_depth
1,0,0
3,1329,0
4,1956,1
5,2467,1
6,2743,1
7,3110,2
8,3241,3
9,3537,3
10,3120,3
11,2098,2
12,2572,2
13,2880,2
14,3349,3
15,3558,3
16,3974,4
17,4194,4
18,4270,4
19,3791,4
20,3399,4
21,3532,4
22,3313,4
23,3371,5
24,3142,4
25,3101,4
26,3125,5
27,2807,4
28,2546,4
29,2229,4
30,1608,3
