shot,delay_ms
1,0
2,0
3,0
4,0
5,291
6,440
7,512
8,386
9,372
10,455
11,554
12,696
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,12
22,204
23,351
24,388
25,283
26,189
27,66
28,0
29,13
30,0
