avoided_ms,y
7.0,1.0
17.0,1.055
26.0,0.945
31.0,1.11
33.0,0.89
46.0,1.165
48.0,0.835
51.0,1.22
55.0,0.78
57.0,1.0
60.0,1.055
64.0,0.945
71.0,1.11
72.0,0.89
82.0,1.165
94.0,0.835
97.0,1.22
113.0,0.78
127.0,1.0
149.0,1.055
167.0,0.945
190.0,1.0
205.0,1.055
206.0,0.945
209.0,1.11
582.0,1.0
