condition,slot,n,full_covered_pct,admission_flexible_pct,below_mandatory_pct,full_count,flexible_count,below_count
12mp_normal,1,79,67.09,32.91,0.0,53,26,0
24mp_memory,0,140,59.29,30.71,10.0,83,43,14
