burst,shot,shortfall_ms,margin_ms,next_margin_ms,shortfall_pct,margin_pct,next_margin_pct,unmet_floor_ms,uncounted_budget_ms,unmet_floor_pct,uncounted_budget_pct
2-15,13,18,332,1074,0.257,4.743,15.343,36,368,0.514,5.257
2-15,19,256,1076,1062,3.657,15.371,15.171,512,1588,7.314,22.686
2-15,20,39,1062,1013,0.557,15.171,14.471,78,1140,1.114,16.286
2-15,21,233,1013,590,3.329,14.471,8.429,466,1479,6.657,21.129
2-15,22,235,590,337,3.357,8.429,4.814,470,1059,6.714,15.129
2-29,26,87,548,401,1.243,7.829,5.729,174,721,2.486,10.3
