condition,run,shot,captureIndex,category,plannedClass,executedClass,targetDemoted,nextDemoted,targetOrNextDemoted,appliedDelayMs,realizedEnvelopeMs,mandatoryFloorMs,floorGapMs,potentialAvoidedMs,marginMs,nextMarginMs,backlogMs,estimatedBacklogMs,backlogErrorMs,waitMs,headroomDelta,captureTimedOut,watchdogFailed
24mp_memory,2#15,11,377,admission_flexible,Bokeh+Filter,Bokeh+Filter,False,False,False,0,530,0,0,530,1104,526,4101,3121,-980,4117,0.017,False,False
24mp_memory,2#15,12,378,admission_flexible,Bokeh+Filter,Bokeh+Filter,False,True,True,292,746,103,0,454,526,332,4704,3961,-743,4733,0.01,False,False
24mp_memory,2#15,18,384,admission_flexible,Bokeh+Filter,Filter only,True,True,True,275,398,8,0,123,1346,1076,4078,4002,-76,4095,0.004,False,False
24mp_memory,2#17,28,457,admission_flexible,Bokeh+Filter,Bokeh+Filter,False,False,False,0,64,0,0,64,697,391,4626,4328,-298,4647,0.023,False,False
24mp_memory,2#18,14,475,admission_flexible,Bokeh+Filter,Filter only,True,True,True,0,100,0,0,100,1114,711,3464,2991,-473,3502,-0.004,False,False
24mp_memory,2#18,15,476,admission_flexible,Bokeh+Filter,Filter only,True,True,True,0,182,0,0,182,711,852,4142,3223,-919,4167,-0.004,False,False
24mp_memory,2#22,16,592,admission_flexible,Bokeh+Filter,Bokeh+Filter,False,True,True,0,342,0,0,342,708,512,4535,2991,-1544,4564,0.024,False,False
24mp_memory,2#22,17,593,admission_flexible,Bokeh+Filter,Filter only,True,True,True,0,134,0,0,134,512,478,5380,3061,-2319,5396,0.014,False,False
24mp_memory,2#23,20,626,admission_flexible,Bokeh+Filter,Bokeh+Filter,False,False,False,0,144,0,0,144,613,310,5166,4238,-928,5179,0.014,False,False
24mp_memory,2#23,21,627,admission_flexible,Bokeh+Filter,Bokeh+Filter,False,True,True,0,280,0,0,280,310,275,5501,4490,-1011,5515,0.014,False,False
24mp_memory,2#23,22,628,admission_flexible,Bokeh+Filter,Filter only,True,True,True,0,135,0,0,135,275,173,5846,4745,-1101,5876,0.017,False,False
24mp_memory,2#23,23,629,admission_flexible,Bokeh+Filter,Filter only,True,True,True,0,186,0,0,186,173,78,5968,4989,-979,5980,0.017,False,False
24mp_memory,2#23,24,630,admission_flexible,Bokeh+Filter,Filter only,True,True,True,88,276,63,0,188,78,274,5981,5305,-676,5999,0.017,False,False
24mp_memory,2#24,28,665,admission_flexible,Bokeh+Filter,Bokeh+Filter,False,False,False,0,97,0,0,97,706,459,4920,4801,-119,4958,0.02,False,False
24mp_memory,2#24,29,666,admission_flexible,Bokeh+Filter,Bokeh+Filter,False,True,True,0,180,0,0,180,459,391,5376,4993,-383,5401,0.017,False,False
24mp_memory,2#27,29,757,admission_flexible,Bokeh+Filter,Bokeh+Filter,False,False,False,0,177,0,0,177,418,235,5457,4455,-1002,5474,0.01,False,False
24mp_memory,2#27,30,758,admission_flexible,Bokeh+Filter,Bokeh+Filter,False,True,True,0,252,0,0,252,235,321,5653,4533,-1120,5666,0.01,False,False
24mp_memory,2#28,25,785,admission_flexible,Bokeh+Filter,Bokeh+Filter,False,False,False,0,70,0,0,70,713,397,5110,3284,-1826,5134,0.02,False,False
24mp_memory,2#28,26,786,admission_flexible,Bokeh+Filter,Bokeh+Filter,False,True,True,0,208,0,0,208,397,459,5496,3343,-2153,5509,0.017,False,False
24mp_memory,2#29,25,815,admission_flexible,Bokeh+Filter,Bokeh+Filter,False,True,True,0,56,0,0,56,651,548,5275,3386,-1889,5290,0.013,False,False
24mp_memory,2#29,27,817,admission_flexible,Bokeh+Filter,Filter only,True,True,True,0,49,0,0,49,401,425,5762,3634,-2128,5783,0.013,False,False
24mp_memory,2#29,28,818,admission_flexible,Bokeh+Filter,Filter only,True,True,True,0,11,0,0,11,425,471,5820,3705,-2115,5835,0.01,False,False
24mp_memory,2#29,29,819,admission_flexible,Bokeh+Filter,Filter only,True,True,True,0,4,0,0,4,471,561,5684,3990,-1694,5703,0.0,False,False
24mp_memory,2#30,16,838,admission_flexible,Bokeh+Filter,Bokeh+Filter,False,False,False,0,82,0,0,82,1204,835,4503,2877,-1626,4544,0.01,False,False
24mp_memory,2#30,18,840,admission_flexible,Bokeh+Filter,Bokeh+Filter,False,True,True,0,323,0,0,323,334,425,5266,3544,-1722,5311,0.01,False,False
24mp_memory,2#30,19,841,admission_flexible,Bokeh+Filter,Filter only,True,True,True,0,26,0,0,26,425,471,5726,3667,-2059,5750,0.013,False,False
24mp_memory,2#31,23,876,admission_flexible,Bokeh+Filter,Bokeh+Filter,False,True,True,0,100,0,0,100,528,521,5464,3941,-1523,5477,0.016,False,False
24mp_memory,2#31,25,878,admission_flexible,Bokeh+Filter,Filter only,True,True,True,0,131,0,0,131,333,307,5757,4069,-1688,5772,0.02,False,False
24mp_memory,2#33,29,943,admission_flexible,Bokeh+Filter,Bokeh+Filter,False,False,False,0,11,0,0,11,1213,859,4756,4453,-303,4778,0.02,False,False
