backlog_error_pts,pressure_pct,condition
25.79,-41.77,12mp_normal
29.81,-47.47,12mp_normal
25.87,-46.24,12mp_normal
31.56,-47.33,12mp_normal
29.44,-40.9,12mp_normal
32.33,-46.61,12mp_normal
38.21,-54.73,12mp_normal
31.93,-44.04,12mp_normal
30.74,-42.23,12mp_normal
22.77,-40.97,24mp_memory
22.6,-40.57,24mp_memory
3.39,-45.61,24mp_memory
1.01,-46.29,24mp_memory
3.3,-53.46,24mp_memory
36.96,-42.87,24mp_memory
