delay_backlog_pct,cdf
16.2981,0.68365
16.5752,0.68577
16.7605,0.6879
16.78,0.69002
16.8895,0.69214
17.023,0.69427
17.0741,0.69639
17.2269,0.69851
17.3184,0.70064
17.3675,0.70276
17.3769,0.70488
17.4578,0.70701
17.586,0.70913
17.6974,0.71125
17.7452,0.71338
17.8173,0.7155
17.8322,0.71762
17.8414,0.71975
18.0747,0.72187
18.2194,0.72399
18.2777,0.72611
18.4433,0.72824
18.4711,0.73036
18.479,0.73248
18.7356,0.73461
18.7861,0.73673
18.9074,0.73885
19.0793,0.74098
19.1127,0.7431
19.1473,0.74522
19.3304,0.74735
19.4614,0.74947
19.5652,0.75159
19.591,0.75372
19.8571,0.75584
20.328,0.75796
20.3299,0.76008
20.3875,0.76221
20.4175,0.76433
20.7378,0.76645
20.7991,0.76858
21.2129,0.7707
21.351,0.77282
21.5185,0.77495
21.6396,0.77707
21.7678,0.77919
21.7758,0.78132
21.8207,0.78344
21.9786,0.78556
21.9964,0.78769
22.0052,0.78981
22.0233,0.79193
22.0779,0.79406
22.1881,0.79618
22.1887,0.7983
22.4008,0.80042
22.7083,0.80255
22.973,0.80467
23.1037,0.80679
23.2776,0.80892
23.3074,0.81104
23.9553,0.81316
24.0108,0.81529
24.0471,0.81741
24.2157,0.81953
24.9924,0.82166
25.0,0.82378
25.5466,0.8259
25.5929,0.82803
25.6868,0.83015
26.1352,0.83227
26.521,0.83439
26.6418,0.83652
26.9906,0.83864
27.0344,0.84076
27.0476,0.84289
27.2247,0.84501
27.2575,0.84713
27.2798,0.84926
27.3804,0.85138
27.6173,0.8535
27.7085,0.85563
27.7891,0.85775
29.1329,0.85987
29.1956,0.862
29.5425,0.86412
29.845,0.86624
29.9841,0.86837
30.0221,0.87049
30.5212,0.87261
31.9929,0.87473
32.1864,0.87686
32.5739,0.87898
33.3597,0.8811
34.3987,0.88323
34.7081,0.88535
34.8913,0.88747
35.7455,0.8896
36.3417,0.89172
36.8517,0.89384
36.9308,0.89597
37.4071,0.89809
37.8022,0.90021
37.8973,0.90234
38.9112,0.90446
39.2084,0.90658
39.2259,0.9087
39.9256,0.91083
40.079,0.91295
40.2832,0.91507
40.3582,0.9172
40.4575,0.91932
41.8702,0.92144
42.0833,0.92357
42.648,0.92569
43.0216,0.92781
43.152,0.92994
45.8991,0.93206
46.1007,0.93418
47.301,0.93631
49.0466,0.93843
50.7704,0.94055
51.5742,0.94268
52.155,0.9448
53.3597,0.94692
55.9755,0.94904
57.0917,0.95117
57.2708,0.95329
57.4809,0.95541
58.3735,0.95754
59.3911,0.95966
62.92,0.96178
64.1476,0.96391
64.4979,0.96603
64.5833,0.96815
65.1994,0.97028
65.6679,0.9724
68.9034,0.97452
76.8798,0.97665
78.9903,0.97877
95.7132,0.98089
98.5577,0.98301
111.4286,0.98514
112.8978,0.98726
117.132,0.98938
122.842,0.99151
126.4537,0.99363
149.7992,0.99575
209.1495,0.99788
319.0476,1.0
