delay_backlog_pct,cdf
18.145,0.78589
18.3919,0.78832
18.7264,0.79075
19.0157,0.79319
19.1131,0.79562
19.2161,0.79805
19.2691,0.80049
19.2819,0.80292
19.317,0.80535
19.3961,0.80779
19.7043,0.81022
20.2362,0.81265
20.2574,0.81509
20.3573,0.81752
20.5892,0.81995
20.65,0.82238
20.9117,0.82482
20.9571,0.82725
21.5477,0.82968
21.9451,0.83212
22.0475,0.83455
22.3352,0.83698
22.351,0.83942
22.432,0.84185
22.473,0.84428
22.549,0.84672
22.5712,0.84915
22.6821,0.85158
22.8643,0.85401
22.872,0.85645
23.0424,0.85888
23.2817,0.86131
23.3007,0.86375
23.4124,0.86618
23.6782,0.86861
23.8684,0.87105
23.9402,0.87348
23.9595,0.87591
24.086,0.87835
24.2314,0.88078
24.42,0.88321
24.9021,0.88564
25.041,0.88808
25.7179,0.89051
25.755,0.89294
25.8614,0.89538
25.8848,0.89781
26.4916,0.90024
26.5133,0.90268
26.6295,0.90511
26.8234,0.90754
26.8968,0.90998
26.9663,0.91241
26.9718,0.91484
27.8755,0.91727
28.3458,0.91971
28.5655,0.92214
28.6406,0.92457
29.087,0.92701
29.3897,0.92944
29.4302,0.93187
29.6333,0.93431
29.7308,0.93674
29.7457,0.93917
31.1634,0.94161
31.379,0.94404
31.9878,0.94647
32.0251,0.94891
32.285,0.95134
32.3579,0.95377
32.3956,0.9562
32.5281,0.95864
32.8172,0.96107
33.0212,0.9635
34.0426,0.96594
34.4618,0.96837
35.8855,0.9708
36.142,0.97324
36.8157,0.97567
37.0161,0.9781
37.5729,0.98054
37.6266,0.98297
40.7127,0.9854
41.4723,0.98783
43.2642,0.99027
43.8059,0.9927
46.6049,0.99513
51.6605,0.99757
59.9728,1.0
