backlog_pct,delay_pct
1.2,3.8286
6.4857,1.1571
8.2857,0.9571
10.7571,13.2143
11.0857,23.1857
11.2571,13.1857
11.3857,1.3429
11.5,12.8143
12.4286,2.3286
13.6857,1.8286
14.2286,21.3143
14.5571,0.9714
14.8286,2.7857
14.8571,14.6429
15.2429,0.3857
15.7,5.7857
17.4429,22.0571
17.5,1.8286
17.5286,6.6429
17.9143,5.3714
18.0714,9.6429
18.7429,2.1571
18.9,3.1714
19.2429,15.2
19.3286,18.5
19.4143,5.8286
19.5,7.3714
20.0,3.9714
20.5571,4.4857
20.7286,12.1
21.4143,3.9571
21.7143,3.8429
22.5,6.0857
22.7857,0.4286
22.8429,9.8571
22.8857,15.0286
23.3286,2.0
23.3429,4.5429
23.3857,14.7143
23.4143,3.0571
23.4714,3.6286
23.9286,9.6571
23.9857,1.5429
24.1857,6.4143
24.2714,5.8143
24.3857,15.6429
24.4,1.2571
24.4714,3.7
24.5143,4.3714
24.6571,2.0143
24.8857,0.2714
25.2714,0.0286
25.5,1.1857
25.5857,28.8857
25.8,7.7
25.9429,2.5857
25.9571,6.2857
26.0571,16.8286
26.1857,18.0429
26.3286,3.6286
26.3429,0.2571
26.6714,9.2571
26.9714,13.2286
27.0714,10.6143
27.2571,3.6714
27.4286,6.2286
27.9286,21.4714
27.9429,6.2
27.9714,15.6571
28.1286,4.8714
28.4429,6.3714
28.5857,14.7429
28.9429,11.6
28.9429,13.3429
29.7143,4.8429
29.7857,12.8143
30.1,5.7429
30.3,5.3286
30.3,19.5429
30.5571,2.4857
30.7571,2.4286
31.0857,3.8143
31.1571,20.3143
31.2143,1.8857
31.2286,14.7714
31.3714,11.5857
31.9143,0.7714
32.0,6.1857
32.3286,5.9714
32.4857,7.0714
32.5143,5.9429
32.6714,1.9429
32.8143,17.1143
33.2,3.3714
33.3143,2.8
33.4714,6.3286
33.4857,1.1714
33.5,19.1857
33.5143,0.9857
33.9714,11.6857
34.6,12.9429
34.6571,3.6
34.6571,4.4143
34.9,2.2
35.2429,5.3571
35.2571,10.2714
35.3714,4.6
35.5143,6.2
35.9,3.1286
36.0,2.9571
36.1286,21.4571
36.1857,12.0714
36.2286,16.6286
36.3143,14.6286
36.4714,7.5857
36.7,1.9429
36.7571,4.1714
36.8143,10.0429
36.8571,7.0571
36.9143,3.6857
36.9143,5.1
37.4286,15.6714
37.6429,5.8286
37.6429,7.6857
37.6857,1.4429
37.7,3.5714
37.7429,4.3143
37.8857,10.3143
38.2,5.6571
38.5,8.5
38.5714,6.5857
38.7714,7.5857
38.8714,0.0143
