backlog_error_pts,pressure_pct
-4.57,-23.4
-2.47,-22.9
-2.56,-21.13
-2.3,-15.59
-2.5,-15.67
-1.29,-13.17
-2.0,-12.4
-1.29,-10.01
0.01,-11.7
1.79,-11.31
4.81,-12.04
6.26,-12.44
8.19,-13.41
6.66,-39.9
14.27,-30.87
21.29,-21.1
13.5,-7.93
3.41,-8.63
-3.84,-8.96
-2.56,-5.7
0.0,0.1
0.17,-10.27
7.09,-17.03
13.93,-21.3
19.39,-27.56
11.07,-31.66
2.99,-35.89
-3.71,-34.36
-4.3,-34.19
-5.29,-33.3
-4.49,-28.77
-3.49,-25.47
-4.07,-20.56
-3.33,-16.93
-3.0,-16.17
-1.67,-16.71
-0.17,-17.61
0.86,-19.46
2.61,-20.07
2.67,-38.7
6.94,-28.1
1.46,-19.67
-1.87,-8.47
-6.43,0.43
-4.87,-5.26
5.46,-5.56
16.83,-11.2
23.23,-20.11
6.07,-29.61
-2.97,-43.67
-3.83,-39.17
-5.49,-36.37
-4.96,-31.07
-5.13,-27.23
-7.91,-26.81
-5.81,-23.37
-5.17,-19.97
-5.67,-18.77
-6.43,-19.21
-3.5,-15.9
-2.71,-14.07
-0.49,-14.76
1.11,-16.29
3.29,-16.53
6.76,-14.73
2.97,-74.59
-1.73,-74.89
1.81,-74.11
-0.31,-71.81
-0.36,-70.37
-0.54,-68.46
-0.27,-63.99
-1.89,-62.99
-2.34,-61.17
-2.7,-60.17
-0.6,-57.67
0.23,-56.39
0.43,-53.86
0.61,-52.44
0.54,-50.17
0.26,-48.71
0.11,-42.33
-2.3,-40.29
-3.46,-37.66
-4.64,-36.79
-5.03,-35.24
-4.63,-35.06
-3.64,-36.31
-0.64,-34.89
0.1,-34.26
2.27,-28.56
2.06,-28.74
3.63,-70.14
7.07,-67.26
1.29,-65.51
-1.73,-64.84
0.69,-64.27
0.47,-61.73
0.41,-58.86
-0.19,-56.79
-0.39,-54.89
-0.41,-51.94
-0.74,-50.21
-0.63,-47.43
-0.59,-46.76
-1.1,-44.99
-1.39,-42.76
-1.44,-39.51
-1.93,-37.5
-2.29,-32.69
-3.49,-29.31
-4.07,-28.49
-3.7,-26.2
-3.6,-24.53
-3.13,-21.71
-2.44,-19.31
-2.9,-13.36
-4.46,-8.96
-5.13,-5.36
-6.66,-1.16
3.41,-71.67
-0.29,-67.49
0.29,-67.34
1.06,-64.47
1.16,-60.61
-0.31,-56.33
-1.07,-54.33
-1.01,-50.27
-0.84,-47.09
-0.81,-40.59
-1.59,-38.11
-1.89,-35.21
-1.89,-34.96
-1.57,-32.33
-1.29,-29.16
-0.86,-26.67
1.2,-22.69
1.01,-16.86
-0.09,-15.4
0.44,-12.31
1.01,-9.19
1.23,-6.66
1.4,-5.34
2.1,-5.53
2.69,-6.16
3.64,-6.69
4.51,-2.81
4.73,-0.14
3.44,-68.07
0.59,-64.66
0.74,-64.89
0.93,-56.64
-1.36,-46.76
-5.49,-38.27
-11.47,-33.33
-11.53,-26.87
-14.06,-22.36
-15.64,-16.86
-11.19,-12.61
-11.11,-6.07
-5.91,-1.26
-5.76,4.33
-2.54,1.53
3.97,-0.64
9.93,-4.37
13.5,-11.33
16.89,-18.87
20.67,-22.53
23.63,-28.23
14.31,-34.31
14.87,-39.69
11.87,-39.76
8.97,-39.51
5.5,-42.07
2.94,-42.16
3.7,-52.7
6.74,-47.47
1.44,-41.71
0.63,-35.23
-0.94,-29.73
-0.14,-24.04
3.46,-17.36
4.6,-11.63
5.29,-5.71
4.87,-1.27
3.24,2.31
0.61,-8.07
4.54,-9.94
7.81,-14.66
12.04,-17.23
15.26,-20.23
19.36,-24.21
14.09,-27.06
8.67,-31.71
7.83,-29.24
2.7,-27.41
-1.01,-24.83
-5.57,-23.64
-5.6,-24.06
-3.36,-24.1
-0.33,-23.23
1.73,-25.84
3.73,-25.76
5.36,-47.4
10.11,-41.61
16.83,-35.81
10.91,-29.43
10.29,-23.6
6.4,-15.93
6.77,16.76
-12.97,-8.97
-4.84,-15.47
3.3,-20.19
10.56,-26.64
18.0,-32.19
24.86,-39.23
29.81,-47.47
14.43,-55.19
5.69,-58.5
-2.19,-60.03
-2.17,-60.36
-3.13,-62.56
-1.01,-62.94
-1.03,-65.16
