run,total_delay_s,backlog_p95_s
48U_metrics_12MP_normal_0729_AdmitOnly_1.xlsx:run03,0,5.921
48U_metrics_12MP_normal_0729_AdmitOnly_1.xlsx:run04,0,6.167
48U_metrics_12MP_normal_0729_AdmitOnly_1.xlsx:run05,0,5.996
48U_metrics_12MP_normal_0729_AdmitOnly_2.xlsx:run05,0,5.705
48U_metrics_12MP_normal_0729_AdmitOnly_2.xlsx:run07,0,5.981
48U_metrics_12MP_normal_0729_AdmitOnly_2.xlsx:run08,0,6.061
48U_metrics_12MP_normal_0729_AdmitOnly_2.xlsx:run20,0,5.934
48U_metrics_12MP_normal_0729_AdmitOnly_2.xlsx:run21,0,5.912
48U_metrics_12MP_normal_0729_AdmitOnly_2.xlsx:run22,0,5.997
