condition,level,workbook,runId,msExecPercent,totalDelayMs,slackP5Ms,burstSpanMs,zMS,zSigmaD,zSlackP5,zSpan,deviationScore,action
12MP normal,5,48U_metrics_12MP_normal_0803_2.xlsx,20,100,15992,663.25,31218,14.8388,13.0879,1.7138,25.1114,32.0157,DROP
12MP normal,5,48U_metrics_12MP_normal_0803_2.xlsx,22,33.3333,3056,270.8,18417,1.349,-0.906,-0.488,-5.9467,6.184,DROP
12MP normal,5,48U_metrics_12MP_normal_0803_2.xlsx,17,33.3333,5570,361.1,22471,1.349,1.8136,0.0187,3.8892,4.4984,DROP
12MP normal,5,48U_metrics_12MP_normal_0803_2.xlsx,11,20,2255,354.45000000000005,19766,-1.349,-1.7725,-0.0187,-2.6737,3.48,DROP
12MP normal,5,48U_metrics_12MP_normal_0803_2.xlsx,21,26.6667,3166,236.10000000000005,19713,0,-0.787,-0.6826,-2.8023,2.9897,KEEP
12MP normal,5,48U_metrics_12MP_normal_0803_1.xlsx,11,23.3333,3625,787.85,20587,-0.6745,-0.2905,2.4128,-0.6818,2.6126,KEEP
12MP normal,5,48U_metrics_12MP_normal_0803_2.xlsx,10,36.6667,3374,400.6,21057,2.0235,-0.562,0.2403,0.4586,2.1629,KEEP
12MP normal,5,48U_metrics_12MP_normal_0803_2.xlsx,12,26.6667,3932,223.95000000000002,21682,0,0.0416,-0.7508,1.9749,2.1133,KEEP
12MP normal,5,48U_metrics_12MP_normal_0803_2.xlsx,19,26.6667,3809,118.45,21088,0,-0.0914,-1.3427,0.5338,1.4478,KEEP
12MP normal,5,48U_metrics_12MP_normal_0803_2.xlsx,18,26.6667,4633,218.95000000000002,20975,0,0.8,-0.7788,0.2596,1.1463,KEEP
12MP normal,5,48U_metrics_12MP_normal_0803_1.xlsx,32,30,3855,197.10000000000005,20933,0.6745,-0.0416,-0.9014,0.1577,1.1376,KEEP
12MP normal,5,48U_metrics_12MP_normal_0803_1.xlsx,10,23.3333,4683,397.45,20803,-0.6745,0.8541,0.2226,-0.1577,1.122,KEEP
12MP normal,5,48U_metrics_12MP_normal_0803_1.xlsx,33,26.6667,4143,384.3,20593,0,0.2699,0.1488,-0.6672,0.735,KEEP
12MP normal,5,48U_metrics_12MP_normal_0803_1.xlsx,31,26.6667,4133,476.55000000000007,20802,0,0.2591,0.6664,-0.1601,0.7327,KEEP
12MP normal,6,48U_metrics_12MP_normal_0803_1.xlsx,13,56.6667,4412,412.4000000000001,21750,6.0704,0.0846,0.23,0.3446,6.0851,DROP
12MP normal,6,48U_metrics_12MP_normal_0803_2.xlsx,14,43.3333,4993,290.15000000000003,22335,3.3725,1.2271,-0.9082,1.0647,3.8519,KEEP
12MP normal,6,48U_metrics_12MP_normal_0803_1.xlsx,14,23.3333,3849,658.7,21470,-0.6745,-1.0226,2.5229,0,2.8046,KEEP
12MP normal,6,48U_metrics_12MP_normal_0803_1.xlsx,12,26.6667,3415,315.25,20580,0,-1.876,-0.6745,-1.0954,2.2747,KEEP
12MP normal,6,48U_metrics_12MP_normal_0803_1.xlsx,18,23.3333,3496,357.9,20648,-0.6745,-1.7167,-0.2774,-1.0117,2.1219,KEEP
12MP normal,6,48U_metrics_12MP_normal_0803_1.xlsx,17,33.3333,4985,487.40000000000003,21710,1.349,1.2113,0.9282,0.2954,2.0581,KEEP
12MP normal,6,48U_metrics_12MP_normal_0803_1.xlsx,15,23.3333,4571,553.9000000000001,21151,-0.6745,0.3972,1.5473,-0.3926,1.7779,KEEP
12MP normal,6,48U_metrics_12MP_normal_0803_2.xlsx,16,26.6667,4163,501.45000000000005,22525,0,-0.4051,1.059,1.2985,1.7239,KEEP
12MP normal,6,48U_metrics_12MP_normal_0803_2.xlsx,13,26.6667,4037,356.25,22520,0,-0.6529,-0.2928,1.2924,1.4772,KEEP
12MP normal,6,48U_metrics_12MP_normal_0803_1.xlsx,16,23.3333,4369,387.70000000000005,20922,-0.6745,0,0,-0.6745,0.9539,KEEP
12MP normal,6,48U_metrics_12MP_normal_0803_2.xlsx,15,26.6667,4712,373.25,21196,0,0.6745,-0.1345,-0.3372,0.766,KEEP
24MP memory,1,48U_metrics_24MP_memory_0803_2.xlsx,35,100,0,3218.2,13464,0,-0.6745,5.6413,-2.6849,6.2839,DROP
24MP memory,1,48U_metrics_24MP_memory_0803_2.xlsx,34,100,0,2169.25,12860,0,-0.6745,3.3977,-3.5629,4.9692,KEEP
24MP memory,1,48U_metrics_24MP_memory_0803_1.xlsx,2,93.3333,773,112.20000000000002,14747,0,2.1136,-1.0021,-0.8199,2.4787,KEEP
24MP memory,1,48U_metrics_24MP_memory_0803_2.xlsx,2,90,759,323.5,15775,0,2.0631,-0.5501,0.6745,2.2392,KEEP
24MP memory,1,48U_metrics_24MP_memory_0803_2.xlsx,25,93.3333,707,265.35,15714,0,1.8756,-0.6745,0.5858,2.0775,KEEP
24MP memory,1,48U_metrics_24MP_memory_0803_1.xlsx,39,100,0,1341,15473,0,-0.6745,1.6262,0.2355,1.7762,KEEP
24MP memory,1,48U_metrics_24MP_memory_0803_2.xlsx,36,100,398,975.6,14753,0,0.7611,0.8446,-0.8111,1.3966,KEEP
24MP memory,1,48U_metrics_24MP_memory_0803_2.xlsx,17,96.6667,0,528.7,14668,0,-0.6745,-0.1112,-0.9347,1.158,KEEP
24MP memory,1,48U_metrics_24MP_memory_0803_1.xlsx,31,100,187,861.5500000000001,15767,0,0,0.6007,0.6629,0.8946,KEEP
24MP memory,1,48U_metrics_24MP_memory_0803_2.xlsx,24,96.6667,189,570.1500000000001,15665,0,0.0072,-0.0226,0.5146,0.5151,KEEP
24MP memory,1,48U_metrics_24MP_memory_0803_1.xlsx,33,100,66,580.7,15311,0,-0.4364,0,0,0.4364,KEEP
24MP memory,3,48U_metrics_24MP_memory_0803_1.xlsx,38,13.3333,2691,768.75,27339,-0.8244,-0.8799,2.2724,4.5078,5.1902,DROP
24MP memory,3,48U_metrics_24MP_memory_0803_2.xlsx,23,70,2563,218.45000000000002,17505,0.4497,-0.962,-1.2046,-4.914,5.1697,KEEP
24MP memory,3,48U_metrics_24MP_memory_0803_1.xlsx,3,80,4383,409.1,18483,0.6745,0.206,0,-3.977,4.0391,KEEP
24MP memory,3,48U_metrics_24MP_memory_0803_1.xlsx,22,50,2687,361.05,19659,0,-0.8824,-0.3036,-2.8503,2.9992,KEEP
24MP memory,3,48U_metrics_24MP_memory_0803_2.xlsx,18,16.6667,3011,837.15,23338,-0.7494,-0.6745,2.7046,0.6745,2.9642,KEEP
24MP memory,3,48U_metrics_24MP_memory_0803_1.xlsx,4,73.3333,6622,277.6,22975,0.5246,1.6429,-0.8309,0.3267,1.942,KEEP
24MP memory,3,48U_metrics_24MP_memory_0803_1.xlsx,32,10,4062,157.15,22634,-0.8993,0,-1.5919,0,1.8284,KEEP
24MP memory,3,48U_metrics_24MP_memory_0803_2.xlsx,19,70,1435,472.25,22477,0.4497,-1.6859,0.399,-0.1504,1.7962,KEEP
24MP memory,3,48U_metrics_24MP_memory_0803_1.xlsx,5,66.6667,4753,419.55,21179,0.3747,0.4435,0.066,-1.394,1.5115,KEEP
24MP memory,3,48U_metrics_24MP_memory_0803_2.xlsx,4,13.3333,4460,484.9,23114,-0.8244,0.2554,0.4789,0.4599,1.0889,KEEP
24MP memory,3,48U_metrics_24MP_memory_0803_1.xlsx,34,16.6667,4388,302.35,22755,-0.7494,0.2092,-0.6745,0.1159,1.0362,KEEP
