condition,group,n,pacedCount,pacedPercent,dOverBacklogP50Percent,overlapPercent,delayP50Ms,slackP5Percent,slackMinPercent,skippedPercent,eitherPercent,noActionCount
12MP normal,slack<5,139,133,95.68345323741008,11.166376523252922,98.96342085696374,474.0,0.6971428571428571,0.15714285714285714,56.11510791366906,99.28057553956835,1
12MP normal,slack<10,392,362,92.3469387755102,10.722100395052443,99.59080785234552,439.0,1.5471428571428572,0.15714285714285714,48.97959183673469,97.1938775510204,11
12MP normal,slack<20,869,742,85.385500575374,10.067972476572688,99.78102594426787,375.0,2.7342857142857144,0.15714285714285714,43.037974683544306,94.59148446490218,47
12MP normal,no intervention,1367,0,0.0,,,,24.71,0.15714285714285714,0.0,0.0,1367
24MP memory,slack<5,122,110,90.1639344262295,16.191691581359677,97.79907344600153,571.5,0.9485714285714286,0.05714285714285714,75.40983606557377,95.08196721311475,6
24MP memory,slack<10,364,297,81.5934065934066,15.9500693481276,97.47846475355523,572.0,2.145,0.05714285714285714,66.75824175824175,94.78021978021978,19
24MP memory,slack<20,931,697,74.86573576799141,12.822769953051644,97.49585011879572,491.0,3.5428571428571427,0.05714285714285714,55.85392051557465,91.6219119226638,78
24MP memory,no intervention,719,0,0.0,,,,13.357142857142858,1.7714285714285714,0.0,0.0,719
