required_ms,applied_ms
7.0,0.0
50.0,17.0
78.0,110.0
91.0,229.0
23.0,465.0
65.0,351.0
38.0,965.0
54.0,401.0
587.0,381.0
21.0,267.0
210.0,470.0
183.0,758.0
13.0,683.0
77.0,275.0
