bin_mid_pct,bin_lo_pct,bin_hi_pct,n,n_paced,activation_pct,act_lo_pct,act_hi_pct,delay_p50_ms,delay_lo_ms,delay_hi_ms,delay_quote_ms
5.0,0,10,228,144,63.16,52.94,73.89,322,250,453,322
15.0,10,20,340,185,54.41,44.55,63.39,294,252,452,294
25.0,20,30,309,96,31.07,21.57,40.86,276,231,336,276
35.0,30,40,265,32,12.08,5.48,19.72,204,166,290,204
45.0,40,50,223,12,5.38,1.35,10.94,82,54,458,82
55.0,50,60,188,0,0.0,0.0,0.0,,,,
65.0,60,70,169,2,1.18,0.0,3.32,90,18,163,
75.0,70,80,117,0,0.0,0.0,0.0,,,,
85.0,80,90,22,0,0.0,0.0,0.0,,,,
