bin_mid_pct,bin_lo_pct,bin_hi_pct,n,n_paced,activation_pct,act_lo_pct,act_hi_pct
-85.0,-90,-80,1,0,0.0,0.0,0.0
-75.0,-80,-70,49,0,0.0,0.0,0.0
-65.0,-70,-60,154,0,0.0,0.0,0.0
-55.0,-60,-50,207,1,0.48,0.0,1.65
-45.0,-50,-40,212,5,2.36,0.0,6.06
-35.0,-40,-30,249,27,10.84,4.09,19.09
-25.0,-30,-20,315,72,22.86,15.03,31.35
-15.0,-20,-10,303,127,41.91,31.78,51.5
-5.0,-10,0,230,142,61.74,52.17,71.37
5.0,0,,141,97,68.79,51.91,82.82
