backlog_pct,cdf
16.7143,0.25514
16.7286,0.2558
16.7429,0.25646
16.7714,0.25712
16.8,0.25845
16.8143,0.25911
16.8286,0.26044
16.8857,0.2611
16.9714,0.26176
17.1,0.26243
17.1571,0.26309
17.1714,0.26375
17.2143,0.26441
17.2429,0.26508
17.2857,0.26574
17.3143,0.2664
17.3714,0.26706
17.3857,0.26773
17.4143,0.26839
17.4429,0.26905
17.4714,0.26972
17.6286,0.27038
17.6571,0.2717
17.7857,0.27303
17.8,0.27369
17.9,0.27502
17.9857,0.27568
18.0143,0.27634
18.0429,0.27833
18.2286,0.27899
18.2571,0.27966
18.2857,0.28032
18.3571,0.28164
18.4714,0.28231
18.5429,0.28297
18.6714,0.28363
18.6857,0.28429
18.7143,0.28496
18.7429,0.28562
18.7714,0.28628
18.7857,0.28694
18.8,0.28761
18.8143,0.28893
18.8857,0.2896
18.9286,0.29026
18.9857,0.29092
19.0,0.29158
19.0143,0.29225
19.0286,0.29291
19.0429,0.29423
19.1143,0.2949
19.1714,0.29556
19.2429,0.29622
19.3714,0.29689
19.4,0.29755
19.5143,0.29821
19.5286,0.29887
19.5571,0.29954
19.5714,0.3002
19.6,0.30086
19.6429,0.30152
19.6571,0.30219
19.7286,0.30285
19.8,0.30417
19.9286,0.30484
19.9571,0.3055
20.0143,0.30616
20.0857,0.30683
20.1429,0.30749
20.1714,0.30815
20.2143,0.30881
20.2714,0.31014
20.3286,0.3108
20.4143,0.31146
20.4429,0.31279
20.4714,0.31345
20.5143,0.31412
20.6571,0.31478
20.7,0.31544
20.7286,0.3161
20.7571,0.31677
20.8,0.31743
20.8286,0.31809
20.9571,0.31875
20.9714,0.31942
21.0,0.32008
21.1571,0.32074
21.1714,0.3214
21.1857,0.32207
21.2429,0.32339
21.3,0.32406
21.4571,0.32472
21.5857,0.32538
21.6429,0.32604
21.6714,0.32671
21.7286,0.32737
21.7571,0.32803
21.7857,0.32936
21.8429,0.33002
22.0143,0.33068
22.0286,0.33135
22.0571,0.33201
22.0714,0.33267
22.1143,0.33333
22.1286,0.334
22.2,0.33532
22.2571,0.33598
22.3714,0.33665
22.4143,0.33731
22.4286,0.33797
22.6143,0.33863
22.6286,0.3393
22.6714,0.33996
22.7429,0.34062
22.8571,0.34129
22.8714,0.34195
22.9286,0.34261
22.9429,0.34327
22.9714,0.34394
23.0,0.3446
23.2,0.34526
23.2429,0.34592
23.2571,0.34725
23.2857,0.34791
23.3286,0.34858
23.3714,0.34924
23.4,0.35123
23.4571,0.35189
23.4714,0.35255
23.6,0.35321
23.6429,0.35388
23.6857,0.35454
23.7286,0.35586
23.8286,0.35653
23.8571,0.35719
23.8714,0.35785
23.9,0.35852
23.9143,0.35918
23.9286,0.35984
23.9429,0.3605
23.9857,0.36117
24.0429,0.36183
24.0714,0.36249
24.1857,0.36382
24.3143,0.36514
24.3857,0.36581
24.4571,0.36647
24.4714,0.36779
24.5286,0.36846
24.6,0.36912
24.6143,0.36978
24.6571,0.37111
24.6857,0.37177
24.7429,0.37243
24.7714,0.37309
24.8143,0.37376
24.8429,0.37442
24.8571,0.37508
25.0,0.37575
25.0857,0.37641
25.1571,0.37707
25.1857,0.37773
25.2143,0.3784
25.2714,0.37906
25.3,0.37972
25.3286,0.38038
25.3429,0.38105
25.3714,0.38171
25.3857,0.38237
25.4,0.38304
25.4286,0.3837
25.4857,0.38436
25.5,0.38569
25.5571,0.38635
25.5714,0.38701
25.6,0.38767
25.6143,0.389
25.6286,0.38966
25.6429,0.39032
25.6714,0.39099
25.6857,0.39231
