queued_pricing_error_s,backlog_error_s
-0.6378,-0.613
0.0128,-0.51
-0.8902,-1.362
-0.7904,-1.122
-1.2165,-1.132
-1.5028,-1.483
-1.573,-1.627
-0.7098,-0.834
-0.1954,-0.217
-2.0477,-2.225
-1.7295,-1.821
-1.6483,-1.757
-1.9958,-2.137
-1.3386,-1.422
