condition,slot,class,queued_pricing_error_s,backlog_error_s
12mp_normal,1,no_delay_required,0.0804,0.099
12mp_normal,1,no_delay_required,0.6742,0.77
12mp_normal,1,no_delay_required,1.3566,1.016
12mp_normal,1,no_delay_required,1.632,1.338
12mp_normal,1,no_delay_required,1.8173,1.825
12mp_normal,1,no_delay_required,1.4512,0.918
12mp_normal,1,no_delay_required,0.9246,0.361
12mp_normal,1,no_delay_required,0.8448,0.251
12mp_normal,1,no_delay_required,0.2817,-0.338
12mp_normal,1,no_delay_required,-0.3009,-0.411
12mp_normal,1,no_delay_required,-0.2658,-0.369
12mp_normal,1,no_delay_required,-0.3212,-0.379
12mp_normal,1,no_delay_required,-0.3025,-0.409
12mp_normal,1,no_delay_required,-0.2071,-0.322
12mp_normal,1,no_delay_required,-0.2298,-0.404
12mp_normal,1,no_delay_required,-0.0884,-0.247
12mp_normal,1,no_delay_required,0.1661,0.04
12mp_normal,1,no_delay_required,0.3019,0.147
12mp_normal,1,no_delay_required,0.4859,0.37
12mp_normal,1,no_delay_required,0.5988,0.506
12mp_normal,1,no_delay_required,0.406,0.172
12mp_normal,1,no_delay_required,0.5224,0.258
12mp_normal,1,no_delay_required,0.4258,0.31
12mp_normal,1,no_delay_required,0.5067,0.354
12mp_normal,1,no_delay_required,0.8453,0.675
12mp_normal,1,no_delay_required,1.3011,1.127
12mp_normal,1,no_delay_required,1.7418,1.603
12mp_normal,1,no_delay_required,1.5758,1.05
12mp_normal,1,no_delay_required,1.0699,0.486
12mp_normal,1,no_delay_required,0.5219,-0.087
12mp_normal,1,no_delay_required,-0.1447,-0.244
12mp_normal,1,no_delay_required,-0.1453,-0.281
12mp_normal,1,no_delay_required,-0.2002,-0.331
12mp_normal,1,no_delay_required,-0.2244,-0.331
12mp_normal,1,no_delay_required,-0.1127,-0.175
12mp_normal,1,no_delay_required,-0.1991,-0.295
12mp_normal,1,no_delay_required,-0.2278,-0.347
12mp_normal,1,no_delay_required,-0.165,-0.263
12mp_normal,1,no_delay_required,-0.0539,-0.164
12mp_normal,1,no_delay_required,0.0551,-0.084
12mp_normal,1,no_delay_required,0.1503,-0.021
12mp_normal,1,no_delay_required,0.35,0.207
12mp_normal,1,no_delay_required,0.5203,0.399
12mp_normal,1,no_delay_required,0.6775,0.534
12mp_normal,1,no_delay_required,0.8302,0.673
12mp_normal,1,no_delay_required,0.845,0.239
12mp_normal,1,no_delay_required,0.7698,0.145
12mp_normal,1,no_delay_required,0.2286,-0.125
12mp_normal,1,no_delay_required,0.3196,-0.056
12mp_normal,1,no_delay_required,0.5386,0.573
12mp_normal,1,no_delay_required,1.2779,1.067
12mp_normal,1,no_delay_required,1.5309,1.334
12mp_normal,1,no_delay_required,1.3133,0.79
12mp_normal,1,no_delay_required,0.6438,0.098
12mp_normal,1,no_delay_required,0.2489,-0.275
12mp_normal,1,no_delay_required,0.1991,-0.34
12mp_normal,1,no_delay_required,-0.225,-0.318
12mp_normal,1,no_delay_required,-0.1304,-0.162
12mp_normal,1,no_delay_required,-0.0616,-0.12
12mp_normal,1,no_delay_required,-0.0939,-0.179
12mp_normal,1,no_delay_required,-0.1214,-0.225
12mp_normal,1,no_delay_required,-0.1074,-0.268
12mp_normal,1,no_delay_required,-0.1012,-0.292
12mp_normal,1,no_delay_required,-0.2006,-0.423
12mp_normal,1,no_delay_required,-0.3162,-0.572
12mp_normal,1,no_delay_required,-0.2633,-0.487
12mp_normal,1,no_delay_required,-0.0822,-0.244
12mp_normal,1,no_delay_required,-0.0378,-0.159
12mp_normal,1,no_delay_required,0.1181,0.034
12mp_normal,1,no_delay_required,0.2894,0.224
12mp_normal,1,no_delay_required,0.5077,0.443
12mp_normal,1,no_delay_required,0.518,0.576
12mp_normal,1,no_delay_required,0.8346,0.851
12mp_normal,1,no_delay_required,0.9582,0.543
12mp_normal,1,no_delay_required,0.6447,0.187
12mp_normal,1,no_delay_required,0.7934,0.35
12mp_normal,1,no_delay_required,1.2562,0.792
12mp_normal,1,no_delay_required,1.3685,1.327
12mp_normal,1,no_delay_required,1.8013,1.752
12mp_normal,1,no_delay_required,1.3282,0.809
12mp_normal,1,no_delay_required,0.7951,0.217
12mp_normal,1,no_delay_required,0.3603,-0.219
12mp_normal,1,no_delay_required,-0.2242,-0.278
12mp_normal,1,no_delay_required,-0.2323,-0.269
12mp_normal,1,no_delay_required,-0.241,-0.303
12mp_normal,1,no_delay_required,-0.3354,-0.412
12mp_normal,1,no_delay_required,-0.239,-0.309
12mp_normal,1,no_delay_required,-0.1554,-0.235
12mp_normal,1,no_delay_required,-0.2622,-0.388
12mp_normal,1,no_delay_required,-0.2623,-0.405
12mp_normal,1,no_delay_required,-0.1329,-0.269
12mp_normal,1,no_delay_required,-0.0538,-0.242
12mp_normal,1,no_delay_required,0.0363,-0.119
12mp_normal,1,no_delay_required,0.1355,-0.006
12mp_normal,1,no_delay_required,0.3345,0.236
12mp_normal,1,no_delay_required,0.4351,0.345
12mp_normal,1,no_delay_required,0.5075,0.398
12mp_normal,1,no_delay_required,0.429,0.068
12mp_normal,1,no_delay_required,0.4445,0.063
12mp_normal,1,no_delay_required,0.4311,0.028
12mp_normal,1,no_delay_required,0.2154,0.266
12mp_normal,1,no_delay_required,0.6611,0.675
12mp_normal,1,no_delay_required,1.4434,1.417
12mp_normal,1,no_delay_required,1.9454,1.805
12mp_normal,1,no_delay_required,2.2503,1.654
12mp_normal,1,no_delay_required,1.6757,0.852
12mp_normal,1,no_delay_required,0.9475,0.173
12mp_normal,1,no_delay_required,-0.1058,-0.121
12mp_normal,1,no_delay_required,-0.1317,-0.152
12mp_normal,1,no_delay_required,-0.1166,-0.133
12mp_normal,1,no_delay_required,-0.0574,-0.083
12mp_normal,1,no_delay_required,0.0427,0.022
12mp_normal,1,no_delay_required,0.029,-0.003
12mp_normal,1,no_delay_required,0.0586,0.059
12mp_normal,1,no_delay_required,0.0217,0.014
12mp_normal,1,no_delay_required,0.0235,0.026
12mp_normal,1,no_delay_required,0.074,0.074
12mp_normal,1,no_delay_required,0.066,0.062
12mp_normal,1,no_delay_required,0.934,0.332
12mp_normal,1,no_delay_required,0.8313,0.213
12mp_normal,1,no_delay_required,0.2737,-0.221
12mp_normal,1,no_delay_required,-0.1874,-0.232
12mp_normal,1,no_delay_required,0.2739,0.196
12mp_normal,1,no_delay_required,0.8187,0.842
12mp_normal,1,no_delay_required,1.4368,1.343
12mp_normal,1,no_delay_required,1.3383,0.839
12mp_normal,1,no_delay_required,0.8405,0.262
12mp_normal,1,no_delay_required,0.2966,-0.254
12mp_normal,1,no_delay_required,-0.1637,-0.28
12mp_normal,1,no_delay_required,-0.1734,-0.318
12mp_normal,1,no_delay_required,-0.1649,-0.344
12mp_normal,1,no_delay_required,-0.148,-0.261
12mp_normal,1,no_delay_required,-0.1434,-0.242
12mp_normal,1,no_delay_required,-0.1829,-0.344
12mp_normal,1,no_delay_required,-0.1591,-0.283
12mp_normal,1,no_delay_required,-0.2393,-0.393
12mp_normal,1,no_delay_required,-0.1657,-0.298
12mp_normal,1,no_delay_required,-0.0796,-0.168
12mp_normal,1,no_delay_required,0.0512,-0.029
12mp_normal,1,no_delay_required,0.1477,0.047
12mp_normal,1,no_delay_required,0.3227,0.207
12mp_normal,1,no_delay_required,0.5028,0.416
