ms,cdf_pct
451.5,95.06
455.3,95.312
461.2,95.565
465.0,95.817
471.1,96.069
479.4,96.321
493.3,96.573
501.0,96.825
507.0,97.077
511.9,97.329
523.0,97.581
547.9,97.833
553.1,98.085
566.3,98.337
568.0,98.589
608.7,98.841
656.3,99.093
715.3,99.345
752.2,99.597
772.0,99.849
834.7,100.0
