queued_pricing_error_s,backlog_error_s
-0.9608,-1.052
-0.8931,-0.984
-0.72,-0.817
-0.5074,-0.403
1.0183,0.474
-0.9666,-0.835
-0.0866,-0.134
-1.066,-1.209
-1.416,-1.442
-1.5367,-1.586
-1.3404,-1.405
0.3698,0.152
-0.0006,-0.093
-0.8882,-0.937
-0.9493,-1.005
-0.7778,-0.853
-0.5882,-0.662
-0.5614,-0.626
-0.4641,-0.485
-0.6655,-0.691
-0.5451,-0.58
-0.4462,-0.485
-0.7425,-0.793
-0.1438,-0.224
-0.0858,-0.138
-0.2815,-0.305
