queued_pricing_error_s,backlog_error_s
0.4635,-0.175
0.5018,-0.16
-0.1413,-0.204
0.3132,0.25
0.834,0.839
0.8874,0.355
0.6944,0.132
0.2184,-0.367
-0.2608,-0.344
-0.2438,-0.39
-0.0438,-0.192
0.034,-0.093
-0.097,-0.178
-0.0612,-0.178
-0.0916,-0.217
-0.0621,-0.251
-0.1115,-0.3
-0.0008,-0.193
0.0328,-0.191
0.1512,-0.025
0.2271,0.069
0.3555,0.231
0.4779,0.366
-2.771,-1.042
-2.335,-0.63
0.5743,0.517
0.7258,0.382
0.4213,0.054
0.3439,0.022
-0.0113,-0.388
-0.141,-0.285
0.0403,-0.075
0.0437,-0.086
0.4422,0.402
0.2523,0.342
0.1902,0.063
-0.0428,-0.199
0.1204,-0.142
0.2359,0.027
0.1868,0.018
-2.843,-2.908
1.6749,0.741
0.9459,1.05
0.1131,-0.451
-0.0004,-0.629
-0.1732,-0.145
-0.0057,0.015
0.0093,0.0
0.0179,-0.057
0.0044,-0.034
-0.0632,-0.173
-0.1359,-0.221
-0.2175,-0.341
-0.3432,-0.543
-0.3517,-0.529
-0.3307,-0.53
-0.2761,-0.436
-0.1425,-0.207
0.0488,0.044
0.1418,0.089
0.3365,0.254
0.524,0.416
0.5202,0.375
1.125,1.329
1.705,0.753
0.9011,0.39
0.3855,-0.346
0.006,-0.761
-0.8955,-0.581
-0.6181,-0.739
-0.5738,-0.474
-0.0612,0.095
0.1485,0.29
0.5688,0.558
0.7265,0.663
0.8227,0.819
0.7198,0.673
0.6319,0.483
0.4544,0.255
0.3565,0.119
0.1276,-0.099
-0.0162,-0.242
0.035,-0.107
0.1648,0.059
0.3205,0.273
0.4615,0.416
0.3315,0.271
0.521,0.072
-0.1047,-0.397
-0.491,-0.328
-0.6637,-0.529
-0.5767,-0.479
-0.4164,-0.481
-0.3624,-0.286
-0.1945,-0.087
-0.0951,0.003
0.1861,0.187
0.3121,0.297
0.3881,0.315
0.4016,0.309
0.3909,0.255
0.3624,0.2
0.382,0.211
-0.0399,-0.205
0.2337,0.121
0.4786,0.345
0.788,0.034
0.1568,-0.219
-0.1594,-0.589
-0.7173,-0.423
-0.6653,-0.391
-0.4261,-0.248
-0.0749,-0.209
-0.0403,-0.189
0.0713,-0.039
0.0666,-0.04
0.1284,0.006
0.0862,0.034
0.3166,0.223
0.4013,0.298
0.8413,0.715
0.801,0.354
0.5682,0.146
0.476,0.094
0.52,0.187
0.3487,0.059
0.3179,0.001
0.4408,0.105
0.3487,0.332
0.5698,0.505
-0.056,-0.968
